uuid,actual,prediction
c2c44371-c6fe-4ca9-a3fc-d73581f65e58,0,0
7230b461-fc57-484a-9a93-1eb0786eecba,0,0
bbb9d92c-913c-4e05-bc9e-ffbd8368301b,0,0
e217da55-2296-4dad-ad8a-67fc2dad10a1,0,0
f995e3b3-6a31-4f28-8c65-f3f2dd4f2b74,1,1
4d4b78f6-fdb1-4b1c-a1c8-83650c4aa13f,1,1
36f58032-e80a-4cac-b64d-dda05cc5c528,1,1
36a725d1-d371-4dc3-af1d-ab1e9e512162,0,0
17454606-80f5-4161-85db-0d10a4e24eb4,0,0
e7cc2a26-28f6-4a65-b8b5-3a5ef1f2f011,1,1
28cca51c-0cb7-4c37-b7ca-db9e538f4671,0,0
c53eae12-8473-47da-84eb-13d37ca5bd11,1,1
27f021d5-fb13-49ed-836f-fa8e8b5610e6,0,0
5e969e2d-e7f9-4d58-a25a-42d51b4c516c,0,0
33ca1497-a792-4276-972d-f7f0c73e3496,0,0
7a6de234-7a37-4710-a45a-0be1866f5bf9,0,0
917bb6b8-8013-415f-9b0f-505020b0dae0,0,0
409bc9a3-3291-4a49-8354-82dc202b8ebc,0,0
d82a37f7-07d4-4de7-a9d4-8b8e6dd124a1,1,1
03657337-6360-4568-a235-1758fd1528db,1,1
58ebca96-6f88-46a1-9d7c-8d51698773a3,0,0
1acb3925-239c-4fae-9bc1-74930f651b90,1,1
2e9e554e-4008-4967-b4d6-ab7e3cbf1657,0,0
c3cd045b-9830-4026-b2a0-2f0f1a594fd6,1,1
c221bf52-48fd-4770-8dc0-2d43235b0a11,0,0
d5c920ac-bf28-4707-8999-58bdd5fce6e3,0,0
c457b820-2a0f-4513-a060-d03923f66594,0,0
c17e0b49-85e4-4134-806f-55e0ee4811f6,1,1
a28a15fa-a6f2-4432-9a8a-5b6aae79e349,0,0
9bac699f-91f3-4eb6-a6aa-7b34ab6fbe0f,0,0
a448e241-32ed-42f6-97ac-d2c628230199,0,0
1e9747a2-563e-453f-8ae4-cca80d8c18fb,0,0
ff18bf62-32b7-4b78-bc13-9e94a5ccd8a7,0,0
ec464c06-5641-4366-a37f-f7c732bdb7fc,0,0
bd38f39a-b4de-42a7-bc69-f9dfb6438310,0,0
0abc6baf-7c20-45c6-884d-9453e487d11c,0,0
668425cc-6067-42a3-a532-1b22b009bfea,0,0
d7e8fc36-37b6-4817-93ac-3dec49c086da,1,1
ba2152ab-22ae-4624-858c-d920bded73de,0,0
d9785221-dd18-4238-9d62-949fb5d42585,0,0
5be18057-2fcb-4393-901c-4c2139daab02,0,0
1d46fd8a-7a13-48e9-b833-4988bbbbe140,0,0
da5786da-fd82-415c-8360-d132f4e75757,0,0
42a2e342-31e3-4c58-98f1-1f78cf8895ac,0,0
b0242597-97ec-435b-98bf-a8a868b9d6db,0,0
6bf47b48-505e-4cc3-aea4-f4aad8534927,0,0
7a5e7983-5902-4161-9d55-890113066976,0,0
94a70426-ed66-429e-9113-4e804fc9b717,0,0
f6091308-76af-480b-a489-096bcb3234e1,0,0
cafd8260-fa74-4792-9d95-127ea99eb730,0,0
4ec7702a-d2c5-48a6-91c3-0737270a2cba,0,0
c8bbacfe-a98e-4b4c-b868-06f61a446e71,0,0
5212ef98-99cb-4f58-b2d9-1220b4d0e6cf,0,0
349dff26-903d-476b-bae4-c23aedf14b9e,1,1
590f2cb8-2f22-4d7f-a216-ec99bf642bf9,0,0
2adeeac3-ba0c-4f9e-b06a-70a1641e71e1,0,0
dfba776a-40f8-4aab-8a17-be4d8eac84e6,1,1
0e84341f-c8c7-429d-a8bd-21d597e9a48f,0,0
ae123d04-984b-4b76-b03c-273956e57eb8,0,0
bf0b289e-393f-4036-958c-026728a4e6ea,0,0
263e26b0-b0ef-4666-b82d-dbeb2d75bd98,0,0
83f668d1-9c35-404b-a75c-7b6cef92b1fd,0,0
1b4f30c0-bcd3-4418-8ead-e2c61ca84f89,1,1
29a8667a-6a42-4ce1-80e6-c4b29178b805,0,0
26c4aa3e-1605-4275-80e9-e8583954ef62,0,0
111be7bc-cb69-4abe-9436-ab0dd54d3c92,0,0
28a48951-9614-46f2-9a94-2f74d9e49983,0,0
97346dff-9173-4623-b6a7-b55b28959489,1,1
3db4b892-1326-48a2-9932-68ec5b424afb,1,1
2f9362a6-c7c3-49ed-8179-802ca24a7cad,0,0
0ab3dd62-83b1-474d-8662-a9fc640ab768,0,0
9dc3468c-65ca-4c10-aa02-6aa3e5a70765,0,0
9783b030-40c3-411c-b898-bd1fc868708a,0,0
30ba7ba5-3245-434a-b122-85b4a9247069,1,1
a3c1c014-d646-4a37-877b-1a7a470801cf,0,0
b6ee0c31-f88f-4e68-bb3a-55ac5f3db31f,0,0
60e6629f-d5ec-49de-b768-6d69aae521c0,0,0
ede6c733-a926-4e00-98ee-6a966a48d7f1,0,0
72e4a2f0-36dc-4efc-93cc-a7307c74ae1a,1,1
4c525640-42a4-4cb9-9edf-14a009c4fedb,0,0
ef99e6fe-2ad9-46ab-a12d-22077ae11509,0,0
fcccec5c-6986-4133-abcc-1581979c6edf,0,0
fc0dac3d-7c3f-4bfd-be2e-dc005a35a0c9,0,0
2183943c-b2c8-4f45-bd3c-45ffe6e96d74,0,0
e6a9f6a2-b2c9-428a-8f9f-7469e325724d,0,0
e2f62acf-f401-42ee-bb0d-9eaa7943c461,0,0
9c0aa2ab-f37c-47c6-aa17-0af590b6a1d8,0,0
eebafbbd-4326-42e0-a0f7-dcdca9440c95,0,0
ade83216-ea39-4345-8b1f-9071b340c494,0,0
11a14818-9e58-4728-b356-c27deffaa797,0,0
8af41f4e-3f3a-4228-8850-9f259f980cb0,0,0
3216a7a9-0873-4ceb-a83d-542ce5030eca,0,0
b638e73f-31b2-4c0b-bc29-7fc116ddeb5e,0,0
c1972c0e-61d6-4629-b612-3a4c29e35553,0,0
f2107be3-233d-4118-ada4-06d15499f915,0,0
9b737cb9-db68-4f45-b4ea-0ede97f55efe,0,0
03b5f595-d544-4952-84fc-2b22c79842f8,0,0
65addbeb-700c-4545-8f9a-b3f0c3256eb3,0,0
6a5c06d9-c2f7-452b-9385-03663597161b,0,0
8630f12a-a890-4c35-a050-5a4bac2954ae,0,0
dd876927-155c-4972-9bb6-ec33b9cf72d0,0,0
62caacbf-de9b-4f39-95d1-ead0954c47dd,0,0
32f3c10b-54d0-4507-862d-69d5c6fa25f5,0,0
521cf18a-422d-4602-a72c-808daf8ece5e,0,0
c61db710-3ddb-46a1-b8ad-8565bce7adb5,0,0
7a1baa9c-170d-4611-8bd4-4944269af5f0,0,0
1ae3022c-8b70-4757-b540-e832cbca7fe2,0,0
cc1a4677-2efd-4a23-b41b-fea428ce6348,0,0
e9bdc8ce-3e60-4ccb-b1ed-ad565ce8fee3,0,0
0f5e866e-0bb9-4e48-a3c4-73a1cf1bedc0,0,0
41fe855b-5b8c-490e-abf8-defed097f718,0,0
9b1bb212-1691-42dd-b7ca-a480b6bbd905,0,0
615411d1-7385-413c-8a9e-0007bb5781ba,0,0
f63684f6-93a1-42c2-b49b-a13b0d97874c,0,0
05b925f9-4037-4807-a93b-659476400aad,0,0
ccaa6311-09f2-4cf3-a7c3-a215af7300d9,1,1
37462c86-7a47-412f-b52b-e0a45fda8af1,0,0
af40a87e-4924-4ac1-bbc8-c41f686baf14,0,0
d204fbe0-24a7-47bb-8eb6-2892a6dbf180,0,0
0f7c1d0e-2316-4353-906c-165488db1188,1,1
508956e9-7eb6-4329-bda9-3967b6e22404,0,0
370231f6-ee94-4886-b714-127102e498bd,0,0
1b56d4f2-100a-4ddf-b027-67716e0c3099,0,0
d46339f6-9131-4510-a9c3-2923cc210b07,0,0
46a66183-f60e-4b27-9757-b486616f7e40,1,1
475a8f09-3e7f-4b34-b7dd-02dbe05e76d5,0,0
7c9d7449-7303-4863-ae5e-8868136bafe2,0,0
c6c10ce2-d27f-42d0-8eaf-d1292273e45f,0,0
9cdbcad9-a823-4d98-9816-4486f5c96caa,0,0
1963b6bc-8702-46ec-b2cd-66ea320ba614,0,0
fba314ac-0f0f-43bc-86db-9e61a0836932,0,0
