uuid,actual,prediction
17454606-80f5-4161-85db-0d10a4e24eb4,0,0
87c0b4e8-34f8-4f9f-bb7e-bcc4bb64d1fb,0,0
32da572c-8390-4bbc-9787-25dd6b4dac4e,0,0
e02fa208-8eb9-479e-ae4c-b6ae061424b0,0,0
ff18bf62-32b7-4b78-bc13-9e94a5ccd8a7,0,0
56883099-76a9-4b0f-94f9-7bad671f0f92,0,0
66e42e39-e10d-417e-b118-757ad20df61f,0,0
0160b377-d5d5-4acb-956c-b1c094537528,1,1
d204fbe0-24a7-47bb-8eb6-2892a6dbf180,0,0
48ed205b-8daf-4524-b78b-7ec5948871ce,1,1
2e26107c-d933-4a0c-93a1-26451c3f9e5b,0,0
300818a8-2fe6-49f0-8222-b36a20500738,1,1
2d454253-e6c0-41f9-a3d0-f392f908b0a5,0,0
bb450920-0cd2-43cf-aea9-8114852a54dd,0,0
f9330b01-490b-491c-9fe1-731d6127297e,1,1
d0010be8-2a6e-4257-a75e-aff1a14c247f,0,0
7a6de234-7a37-4710-a45a-0be1866f5bf9,0,0
689e4e8f-4239-44cc-86b2-855ba58d94c5,1,1
79f74957-1daf-4eba-b7fb-b6fcbede7e4a,0,0
e1647a7e-1bb0-40a1-aa4e-a68d8d625646,0,0
628c8b5e-077d-43d8-bebb-026d947a9095,1,1
c71e471b-a776-497a-82b7-dc2998963d30,1,1
ec78036f-c829-49bb-a285-e25c68400678,1,1
0d6b653d-c600-4821-a69e-58ee8b86c4e9,0,0
d341878c-8035-489b-82e7-adc1d9c15dc7,0,0
56ff0b08-d460-468f-93a8-f91d522a47b2,0,0
319c3b59-38a3-4593-a1a1-81eef8ae3696,0,0
4d191321-b2f9-4dca-be8d-1508612b8381,0,0
20a5e8c9-fb7a-4154-89b0-70b77d0f8516,0,0
475a8f09-3e7f-4b34-b7dd-02dbe05e76d5,0,0
43d7b58b-a837-491d-8e7b-b1a314f19b35,0,0
49e71368-ed45-45aa-b7c6-1469bf2c76b1,0,0
e4c76cdc-6f03-4950-8d8f-0ae305957805,0,0
67115f32-0e33-4296-a941-dac4215b8118,0,0
ca9fc59c-073c-4517-8770-71e89f27503d,0,0
c3ade134-c74b-4044-82aa-0074f7f0a6ee,0,0
263e26b0-b0ef-4666-b82d-dbeb2d75bd98,0,0
4d77ca8d-5ae3-48d7-a967-5e5955152ed5,0,0
05c3fbcd-8595-4dd7-aadd-f2dfef7b80f3,0,0
9b1bb212-1691-42dd-b7ca-a480b6bbd905,0,0
0421d143-ae55-4716-a9de-d951f99f3fac,1,1
ec464c06-5641-4366-a37f-f7c732bdb7fc,0,0
8423b5b3-ad7c-4f7f-b7fe-becd96be363e,0,0
2f9362a6-c7c3-49ed-8179-802ca24a7cad,0,0
732a6fcc-e44d-42c7-9344-427b477f7bc0,0,0
2ea22f13-d443-480f-ac57-3e41e19075ae,0,0
29a8667a-6a42-4ce1-80e6-c4b29178b805,0,0
198a2971-249b-41f6-abfc-f930ff6f24f6,1,1
d27d1546-9c7b-4736-b60a-53045f79fc31,0,0
0ab3dd62-83b1-474d-8662-a9fc640ab768,0,0
7027c243-46ec-4fa6-9edb-35bb39aa2fdd,0,0
3f4ecc0a-1cba-4170-bce5-551e40e9b422,1,1
f776df8b-1d72-49ff-9efc-d2a05c7a741a,1,1
47704f41-b101-4c45-84f8-5b5696891d19,1,1
59b4324c-99e6-4ee0-a245-f0fa1804f2e9,1,1
30dabdbc-ac09-4a41-9b61-376a5d5f4024,0,0
29a88bd1-d235-4652-81f1-e99c1b2544b1,0,0
e926c538-75a6-48cd-bcf9-02a98671083c,0,0
37462c86-7a47-412f-b52b-e0a45fda8af1,0,0
f68651f1-fe5a-485a-8b97-85033e28fa8d,0,0
81025164-c414-4b8f-b97d-e1130b212968,0,0
e1ac2943-d603-470d-aec9-66fac0bf8063,1,1
58041455-ca0f-4da3-8b4d-f2ea3f643f01,1,1
4d0232af-deb1-4935-bcad-72d6047322b8,1,1
0b137c10-cd60-4e24-ba27-f44551711d9d,0,0
5c427b0c-be47-4715-afaf-aed0d4375d70,0,0
f98e0a85-ccef-4d4b-a196-956f4c23e321,0,0
33c1b080-5dfd-4ea4-aeb3-34c4418d5ab5,0,0
a51c39f1-054f-4fac-a8bf-dca812505d4c,1,1
7bd0068b-a9b4-4383-ab98-e53c8ae17a9f,0,0
