uuid,actual,prediction
ee881cc1-f75b-4128-879d-794fa5dbda96,0,0
e9685ed7-5a8d-4337-a843-3c635413f91e,0,0
74256269-2824-4cfb-b4eb-2ce8d31065e0,0,0
e382e9f3-f675-4fd9-9cbd-8b8a496482c7,0,0
e4a8a519-3c07-494b-b1cd-158f3082d0e5,1,1
94ef8866-1db4-4791-9378-045d770275e8,0,0
319c3b59-38a3-4593-a1a1-81eef8ae3696,0,0
ba26a4a1-f8c1-4460-827a-15b56596eb76,0,0
31a46a46-b403-46ac-8fee-c565f7c77a23,0,0
cb7ba44d-2cb9-41e3-9a54-f172e44a8b76,0,0
2902c513-72c4-4d91-82a5-4cf0c244ccf2,0,0
f32d02f6-dfb4-4de1-b44c-c42a37846a9a,0,0
05b925f9-4037-4807-a93b-659476400aad,0,0
2cdcd34c-d8e8-4e2d-a147-80071e0c6dbc,0,0
236a3308-a8be-4fdf-91ed-c87c1c44ad55,0,0
b3f0512c-0669-47db-86c7-ccaa4e6cb3b9,0,0
2e9e554e-4008-4967-b4d6-ab7e3cbf1657,0,0
d78fd4ef-7aca-4057-9ea6-6954414a6b05,0,0
d0010be8-2a6e-4257-a75e-aff1a14c247f,0,0
f0d39798-da74-4956-8d0f-19f2df223635,0,0
54dfa711-5a2a-4dfd-af1f-5ae8f89edf3b,0,0
ed86cc0f-b9f7-4e8f-987d-ebde0fa2385e,0,0
58b9e134-8c8f-4baf-8055-229e308e1779,0,0
bdcb3c80-4931-4cad-a8de-a82ba0d5df7f,1,1
b657c1e6-ea63-475c-9aa6-a7ac4e5c6670,1,1
0f67878b-0a58-485d-ad2a-aaf96aa9d86a,0,0
2bebf75c-d499-4178-bf66-077d6d64fa3d,0,0
013b8402-307e-4dd3-b753-5c2c2aa1b1cf,0,0
d54f6f46-3890-4541-9690-dd7178a5f34c,0,0
3596fa3f-fdc6-479f-997e-ad4edce92b8a,0,0
b74f703b-b36c-4b23-9f63-eb6e4ee9bfd2,0,0
1ebc5187-32c7-4fe4-8dfe-6339a34c1d00,0,0
b3e3ea7c-b05c-4306-aa67-d2a2022f1d7c,1,1
5be18057-2fcb-4393-901c-4c2139daab02,0,0
308fed68-73b6-40e6-9980-f56da25261ff,0,0
ae7626cd-5c07-4658-b879-971d3f078983,0,0
5bf5c15a-def9-44ee-9c58-abf4fab67460,0,0
6138ff8f-6415-450c-8450-37779c5c993d,0,0
c39d894f-3585-44d4-8272-76f685f3a11b,0,0
09f75175-025f-4c96-8c36-8e5dd06c48d2,0,0
6d8ba87b-068b-41d0-945e-0d4fcb791600,0,0
00b83d81-80ef-4654-affe-1fffb08918a9,0,0
b1ae5fa8-96dd-4dcf-896d-a241b4e5b775,0,0
d7b62699-feb5-4242-b1a9-1c6ec15f4517,1,1
400b5f8b-5cfd-441a-81d9-52a1419ae0c9,0,0
aca7c166-df5d-4139-924b-66c363ffb64b,0,0
cf8c528b-1ea2-45c8-b565-8416b4e870ab,0,0
f06f5d60-f741-4ef1-a529-09dee5884d85,0,0
0e32e508-9fc1-456d-922c-82906bd197fe,0,0
