uuid,actual,prediction
090a4ace-ee29-4bd7-860c-116e04b984a0,0,0
b1ae5fa8-96dd-4dcf-896d-a241b4e5b775,0,0
494b4c18-e895-4316-8c0e-d68716fe4c1c,0,0
3fcb4853-aa97-45af-aeac-cae9d0fd753d,0,0
8541e43d-8d2e-43ce-bf4d-6b9d435390d2,1,1
d5634461-3c0c-47c5-b116-fb7e4e50d77a,0,0
0ab3dd62-83b1-474d-8662-a9fc640ab768,0,0
4298fe28-0abb-493b-91bf-8a8b7ad695f4,0,0
bcb94282-7dd1-49ca-bd51-c3c30d1ef3e9,0,0
881584ff-6e69-4266-a583-f6b894f1e858,0,0
e217da55-2296-4dad-ad8a-67fc2dad10a1,0,0
aba41270-4239-4843-ba03-b0fa74bf9286,0,0
958e6cd0-0d54-4eeb-a5ee-a9ec1a23f394,0,0
4c730856-aa06-46d0-aad6-16770ba5ae97,0,0
5237d834-a3e5-4505-bbfb-6d5bac0f8099,0,0
5dc0f651-038e-43ac-b169-aaf619df3345,0,0
5f0271e0-edb9-4ea9-a2f7-2ee2f5daa852,0,0
18de12a6-13a7-4034-8304-e6c8e709d226,0,0
d766016f-588a-4a89-af28-243a9b4027f0,0,0
d839b7b9-b143-4bdf-b4c7-0dd4fe04e1f4,0,0
63955dca-6857-47f8-8ed6-3e132c8910c1,1,1
2916d805-9476-46d0-b76b-2fdf337fd12d,1,1
6536c70e-f966-4609-9888-e19cce3a6567,1,1
28940c1b-64e3-4a70-b7db-67c46b7a5cc6,1,1
2ae2f008-0d73-4fe4-ba1c-5abae2c44eed,0,0
411c6ab6-517d-44cb-9f73-69f64ea93608,0,0
528b5d06-98d5-4f42-bf5f-2b85ae3998e6,0,0
0f0fa35b-4d8e-410b-b0f9-c0b79b7672be,0,0
88d3e682-25e5-4ed2-80d3-cf55a1f38221,0,0
93fa28ee-2f97-44cb-8c5a-33baa82e7baa,0,0
6b8138ec-82a4-4b23-ad2d-c9d690c97ef1,0,0
1a38c67f-ee55-4bd0-b20f-71571150e0de,0,0
9e298766-7c03-4d16-8e61-f693a959588a,1,1
54dfa711-5a2a-4dfd-af1f-5ae8f89edf3b,0,0
d0343607-fb51-4f79-ad54-9902ba8142ca,0,0
2be67688-7fe2-4a71-8d05-f1efc772b1d4,0,0
2cdcd34c-d8e8-4e2d-a147-80071e0c6dbc,0,0
d59ae551-1a22-4b98-8d56-47c79364bfbb,0,0
908f5fc1-7088-4055-84d0-ba2c58a5ec4c,0,0
5a35c6a7-4e0f-490d-9343-eadcf0df7c03,0,0
f6bd72c9-4d73-4271-841e-fc1a54c18209,0,0
095730da-9935-414c-925f-1dde11f2e411,0,0
83f668d1-9c35-404b-a75c-7b6cef92b1fd,0,0
ac2ed156-6f53-42ff-9e18-8505f5874e33,0,0
1ef8aa24-74cc-4dec-9589-ee0c30e82587,0,0
28cca51c-0cb7-4c37-b7ca-db9e538f4671,0,0
457dab3b-ab35-42f9-9ec4-ef6502721270,0,0
392e259d-15c1-47e8-bdbd-4fa7084b49e0,0,0
205c1990-b58b-4c91-a2ec-a1dee1144171,0,0
82d01e25-12b6-4800-8bdb-8c79d809d199,0,0
66dfc56f-facd-470a-81d9-e5665e10da8b,0,0
98f0c48d-fa4b-4774-8cfd-8f8afba749fd,0,0
79f74957-1daf-4eba-b7fb-b6fcbede7e4a,0,0
5d384b7b-2104-419d-8338-35473eec152c,1,1
811516e9-07de-4a47-ac21-01e5bbc09c86,0,0
5e1b851b-26dd-40ed-994c-4a6334543529,1,1
9783b030-40c3-411c-b898-bd1fc868708a,0,0
7a1baa9c-170d-4611-8bd4-4944269af5f0,0,0
f63684f6-93a1-42c2-b49b-a13b0d97874c,0,0
dd653dfc-566e-4a8a-866a-6e69c60be4b5,0,0
7e196aa8-1470-4c34-8700-7ea21cff9d52,0,0
f84d6eda-5bbd-4c27-8712-9e4759aff143,1,1
a4e3e62d-ac5b-479c-9df1-17e17731c2e0,0,0
f41e611e-fabc-4d33-b8a5-2a7bbd00ab6a,1,1
590f2cb8-2f22-4d7f-a216-ec99bf642bf9,0,0
5be18057-2fcb-4393-901c-4c2139daab02,0,0
ae7626cd-5c07-4658-b879-971d3f078983,0,0
1e92e511-be1b-46ef-be9d-6736991fa5e1,0,0
969f762d-c0c3-4968-a133-9fc40adde5d2,0,0
be471523-89fa-41f9-b2dc-77d20920d734,1,1
