uuid,actual,prediction
2c9b5003-6026-4bd2-88a9-57783aac5f46,0,0
28fcc3a8-c2de-4366-8882-8139eab8013b,0,0
ec464c06-5641-4366-a37f-f7c732bdb7fc,0,0
3ffb6be3-aa15-4d30-a706-5da14f33a52f,1,1
a71da434-47e6-4dff-a15c-e9195407342e,1,1
19529f83-45d6-4d44-976b-3dfebd75851d,1,1
8541e43d-8d2e-43ce-bf4d-6b9d435390d2,1,1
99e0c345-4f0e-4721-b981-050d7718c327,0,0
a9fb025d-d852-4f0b-94ee-6bd8d9bb4e66,0,0
a959d02c-3f04-4de2-8868-c8f0d99abf4b,0,0
7349ef00-cf76-4fbe-8b3c-c77254fe7287,0,0
7fe0e2a6-e13c-40d8-845c-1a79fbb38a30,0,0
f68651f1-fe5a-485a-8b97-85033e28fa8d,0,0
ae123d04-984b-4b76-b03c-273956e57eb8,0,0
e926c538-75a6-48cd-bcf9-02a98671083c,0,0
ed9fa7b9-590b-4cc6-8ed4-f4114368dd94,0,0
30dabdbc-ac09-4a41-9b61-376a5d5f4024,0,0
24f452e4-27d1-4705-b399-4065586bec23,0,0
74256269-2824-4cfb-b4eb-2ce8d31065e0,0,0
f0d39798-da74-4956-8d0f-19f2df223635,0,0
4f722dc8-5cb1-4cb1-adf5-080af9690941,0,0
6f52dbb1-9e5c-485b-a6d6-18f03e9efbb7,1,1
84f22577-325a-43bf-bcee-ab5451da15bf,0,0
bf0b289e-393f-4036-958c-026728a4e6ea,0,0
b094ef04-be04-4eed-a65b-1690991cf042,0,0
3216a7a9-0873-4ceb-a83d-542ce5030eca,0,0
13a326f2-0c3e-4ba2-9bd5-136069f67835,0,0
d97fd062-40af-4b6f-940e-3e07934a30fa,1,1
28940c1b-64e3-4a70-b7db-67c46b7a5cc6,1,1
e88962ce-71c0-4962-9740-183243fa062d,0,0
df3a62cd-34f7-4413-8b90-94c05b376b10,0,0
29a8667a-6a42-4ce1-80e6-c4b29178b805,0,0
ad423e5d-9c26-4c66-8a7c-55a28e1b35a9,0,0
8e68a89e-a070-406f-94fb-f9aca8e11858,0,0
96f52bf4-4d2d-4267-b5b9-55d8c9574052,1,1
63183041-642c-4369-ae89-a5492b49dde1,1,1
32d41872-c5a1-42a5-a8b3-7aeb8020922a,0,0
ad37b60a-1331-4817-a55c-6d9aa662e51e,1,1
5cfda04d-c33c-4164-b0c9-8f04af51c546,0,0
4218046e-916b-4662-85a8-29d5103b607f,1,1
1648b112-442f-4835-9dc5-0e03f8ece799,0,0
cb36a290-d1a3-4193-9adc-5e29184a221e,0,0
457dab3b-ab35-42f9-9ec4-ef6502721270,0,0
0814fefd-7409-429c-ad16-e2f501d3f2bf,0,0
ec378bd5-b867-4509-b9f9-c3667dcc5d94,0,0
f165cee5-ea1e-4397-b7bc-0171eb3f05b1,1,1
77edb1b9-f6f3-49d3-8450-b6872eaf1d48,0,0
bb98a614-d620-4421-baeb-c2b528858b8b,0,0
8c170e6a-ebb6-4dff-aa56-2006484ca2e6,0,0
350ed421-44a9-4870-8d77-40bac746a52b,1,1
