uuid,dir_path,typosquatting_list,3rd_party_hits,domain_length,name_presence,form_presence,number_links,number_empty_links,number_links_domain,latitude,longitude,red_value_screenshot,green_value_screenshot,blue_value_screenshot,red_value_favicon,green_value_favicon,blue_value_favicon,hash_screenshot,hash_favicon,similarius_sim,malicious,company_site
dd8402e2-5ffa-42f8-8518-6e950f8f7c56,../luxtrust_fake/2024-07-15T15:00:39.603005,0,0,19,1,1,44,0,0,51,9,8,5,162,0,11,245,10568432044873411582385177710971915232368819233087620982367393123201629332278,114514053616919605110616898755028612388446561310920572487041171417755226730345,53,1,1
24638f05-cad1-45c0-b282-88fee5c2ac16,../luxtrust_fake/2024-08-09T14:17:13.668957,0,0,10,1,1,98,0,0,38,-97,9,0,185,0,11,245,27143769777563367278685196757614170607856534849399273808135202051373547835544,114514053616919605110616898755028612388446561310920572487041171417755226730345,68,1,1
6ba41d99-91a8-4ed3-babc-45811d4e152d,../luxtrust_fake/2024-07-16T07:57:45.658628,0,3,20,1,0,0,0,0,38,-97,4,17,79,0,11,245,71514797228700051027957394867060294382763033276202450737055989339490906074543,114514053616919605110616898755028612388446561310920572487041171417755226730345,46,1,1
3d62dd21-ef80-4817-b9b9-5289c61c202b,../luxtrust_fake/2024-07-12T13:27:34.651115,0,0,21,0,0,0,0,0,54,-2,0,0,10,0,11,245,8634728490468755926787264912791246572214106298917977895652355985877512959221,114514053616919605110616898755028612388446561310920572487041171417755226730345,0,1,1
92310dc1-6073-4fd2-8057-1df2b610b229,../luxtrust_fake/2024-08-05T10:57:04.578779,0,0,22,1,0,0,0,0,38,-97,8,5,69,0,11,245,11439016209861372864059981829136358675670634509283724079560128514876168376113,114514053616919605110616898755028612388446561310920572487041171417755226730345,31,1,1
bbdf8a95-fcf7-4fac-93e7-832d5bba1448,../luxtrust_fake/2024-07-23T14:21:13.295441,0,6,19,1,0,0,0,0,60,100,8,5,69,0,11,245,11439016209861372864059981829136358675670634509283724079560128514876168376113,114514053616919605110616898755028612388446561310920572487041171417755226730345,31,1,1
ea1a3687-9a34-44b2-a685-417ea2a840b9,../luxtrust_fake/2024-07-23T10:44:33.712841,0,0,20,1,0,0,0,0,38,-97,6,10,86,0,11,245,32461408938777336698185002845810714889945208017171234848240637373638535406593,114514053616919605110616898755028612388446561310920572487041171417755226730345,46,1,1
27a4f03f-c6f2-4640-b006-9e541351a97b,../luxtrust_fake/2024-07-30T09:52:50.320721,0,0,26,1,1,44,0,0,51,9,11,7,172,108,28,0,94444423107221443395387863638245462901574754504249122622412657053587438048710,60403062073946997218011065378920626622595460512604731379825669633780421983566,53,1,1
cd5cb40b-5ee2-4511-91bf-1b47eaa9a5e1,../luxtrust_fake/2024-07-16T10:07:03.117673,0,1,24,0,0,0,0,0,54,-2,0,0,10,0,11,245,8634728490468755926787264912791246572214106298917977895652355985877512959221,114514053616919605110616898755028612388446561310920572487041171417755226730345,0,1,1
c3e7820f-2106-4917-a0ad-e302e1582775,../luxtrust_fake/2024-08-13T16:26:33.947436,0,1,18,1,0,0,0,0,38,-97,8,5,69,0,11,245,11439016209861372864059981829136358675670634509283724079560128514876168376113,114514053616919605110616898755028612388446561310920572487041171417755226730345,31,1,1
