uuid,actual,prediction
4014ad14-7e14-4146-a06d-3ac1a6feb94b,0,0
656ae203-da3a-4b86-a756-d69da23a0407,0,0
bcb94282-7dd1-49ca-bd51-c3c30d1ef3e9,0,0
cdc59c6f-bf6a-48e2-bd76-5df8297b820b,0,0
60c28923-d4ba-4276-9899-f4e6ee283852,1,1
9e9ee336-8028-4553-9626-2f5b693fce9a,0,0
0f5187bb-1a05-4f65-81c5-f7e557b58e99,1,1
236a3308-a8be-4fdf-91ed-c87c1c44ad55,0,0
3da86551-82f9-4ca5-9caa-7e951b951bd8,0,0
61029889-b4dc-4777-a02e-7a994a3b0cda,1,1
958e6cd0-0d54-4eeb-a5ee-a9ec1a23f394,0,0
0f0d220d-0979-4024-97f0-9a785b00bc3a,0,0
8d900e39-e830-456e-90c2-1dfc4231ad7e,0,0
c221bf52-48fd-4770-8dc0-2d43235b0a11,0,0
138a8ba3-7ab6-4596-a98e-6d7a686f902c,0,0
3b63177c-08da-4375-a5be-3a10b5123a60,0,0
e9685ed7-5a8d-4337-a843-3c635413f91e,0,0
ee455be9-dfad-4e33-b893-2a8f8fdcc07d,0,0
a492f9e6-7267-43df-803b-7eedbbeda988,0,0
40fc9d7a-482d-4fc5-b24e-e921416e6cef,0,0
d850442a-135e-41f9-86ab-d30aed818661,0,0
1a3d1c2b-6ed0-4cc8-8afb-8980c15c1d42,0,0
c61db710-3ddb-46a1-b8ad-8565bce7adb5,0,0
5be18057-2fcb-4393-901c-4c2139daab02,0,0
66da8ed9-eb6a-464e-b224-bf9b97118167,0,0
bb450920-0cd2-43cf-aea9-8114852a54dd,0,0
11a14818-9e58-4728-b356-c27deffaa797,0,0
a5d08cd3-20ca-456d-bf9b-1fca4ea43771,1,1
b45a1f0f-2d76-478e-be7b-4f8e300c68df,0,0
6cde2533-563c-4b5b-a96e-b83d08326a4d,0,0
f3314365-4823-4b72-a4ff-e24142155cac,0,0
4c67bf1f-7d93-434b-be4f-b2ea054c1ac7,0,0
e2600e44-cf21-4a65-bed4-f9e82811982c,0,0
9cadd7b1-57e9-4469-8365-4983b3657b57,0,0
ff18bf62-32b7-4b78-bc13-9e94a5ccd8a7,0,0
c0a720e8-bc31-4696-867c-ce62f1eee959,0,0
b984e61a-518e-47b9-84be-441dc0e3d60f,0,0
58b9e134-8c8f-4baf-8055-229e308e1779,0,0
51b02167-60df-427c-a3e3-0a2a76126ee0,0,0
36636143-cd59-449b-b518-e27e1befb491,0,0
30dabdbc-ac09-4a41-9b61-376a5d5f4024,0,0
28cca51c-0cb7-4c37-b7ca-db9e538f4671,0,0
471eeacd-6ac8-4417-96ce-0e7f7f42fc89,0,0
94603dd9-6ef7-401f-97ba-72d7fefb7e3d,0,0
7c3a0b4f-f543-426f-b2b2-180bc73005bb,1,1
2b67f75a-29dc-4c3f-b9ff-494d460a521a,0,0
72e8c937-da9d-468c-898f-1b98bb3ea4fd,0,0
cf12a8ac-3a1f-4910-8307-4f0f96ea0bc7,0,0
bbdf8a95-fcf7-4fac-93e7-832d5bba1448,1,1
9d05084a-9cfc-4666-8400-ba3a6885ce26,0,0
a28a15fa-a6f2-4432-9a8a-5b6aae79e349,0,0
5c25dfb0-8b38-41cc-be58-bcfb74556381,0,0
0a2f1d1e-0869-423c-b1c9-bb1e2bab7159,0,0
ac3e849c-49d9-4cf4-8844-d30f0dfcf480,0,0
52d6da65-76fa-4588-a63c-d177ecacd226,1,1
85aaf608-cb88-4153-9cf8-a0afd9020c6c,0,0
f732505c-8b37-4dac-8cf5-ea46f6148dfe,0,0
bb058aa4-d394-498c-b0af-78f037cbc08b,0,0
