uuid,actual,prediction
84db919a-bf48-4123-bd61-68855524c984,0,0
2b49e1fc-3320-47a0-8d6d-7b9e05601eaa,0,0
80395e4f-e4eb-476a-a981-158abf4158a2,0,0
656ae203-da3a-4b86-a756-d69da23a0407,0,0
dd653dfc-566e-4a8a-866a-6e69c60be4b5,0,0
ae123d04-984b-4b76-b03c-273956e57eb8,0,0
70350c8f-1a5f-4f1b-b3db-901c45d1a8f0,0,0
c5f7edf7-d408-4047-8caa-1765f9da4b82,0,0
759e31dc-7d7b-48c7-8b7f-f8629c7b27a3,0,0
9c5605c2-5648-429b-b479-191ba32d53b4,0,0
ab1d5551-24b7-47d8-8e60-17b1fdf47736,0,0
02ba9dfa-385e-4fa5-a6f7-bb41e26c695d,0,0
79c8b74b-2cc3-4e7f-a81d-ed3a88606dff,1,1
c1e4eb56-acc8-4c5b-b419-249939513378,0,0
32f3c10b-54d0-4507-862d-69d5c6fa25f5,0,0
06bdcb57-9e87-4044-94cd-83f440e285ed,0,0
1ae3022c-8b70-4757-b540-e832cbca7fe2,0,0
370231f6-ee94-4886-b714-127102e498bd,0,0
2ea22f13-d443-480f-ac57-3e41e19075ae,0,0
665af781-e503-48d0-a8bc-5f5056484844,0,0
ac2ed156-6f53-42ff-9e18-8505f5874e33,0,0
e120d3f0-5031-405d-b5d7-13c6614dfdc4,0,0
784521ae-b829-41ff-a7f4-a161569d0a1a,0,0
1102d233-8052-4083-ba35-9e1f66b93faf,0,0
ddce784d-9b06-4347-ae6c-d71ac82f20f3,1,1
f7fafe5a-2874-4468-a7b3-59c3d4f6c349,0,0
1e9747a2-563e-453f-8ae4-cca80d8c18fb,0,0
8e9a4962-38ce-4d8c-9e24-351e00e4995f,0,0
b535b4aa-1442-4640-afaa-191a511d8322,0,0
40b6a1c0-ed15-4550-9291-fae92e5c76eb,1,1
4dcc8f98-b50f-4067-8c26-04604632efe9,0,0
5bbe3f0a-4fdc-4ac0-b9f1-5f1b376be964,0,0
343074b7-dad8-4304-900d-9c67adb5119e,0,0
b45a1f0f-2d76-478e-be7b-4f8e300c68df,0,0
471eeacd-6ac8-4417-96ce-0e7f7f42fc89,0,0
51f43193-0fe6-403c-a29d-ffce8c3e11c4,1,1
93fa28ee-2f97-44cb-8c5a-33baa82e7baa,0,0
6a945b33-11d4-40b9-ab50-5a074172489c,0,0
342c82c4-2b19-4935-bde7-e6e29b2f5f88,0,0
25948087-4114-4ff0-98af-689fe2ebee6f,0,0
4014ad14-7e14-4146-a06d-3ac1a6feb94b,0,0
095730da-9935-414c-925f-1dde11f2e411,0,0
1ef8aa24-74cc-4dec-9589-ee0c30e82587,0,0
d46339f6-9131-4510-a9c3-2923cc210b07,0,0
2af1097a-7e6e-4803-9f01-9f022c4dd399,0,0
b465481b-71f6-4ebf-8a4b-7d9548d4016b,0,0
51b02167-60df-427c-a3e3-0a2a76126ee0,0,0
a58a66d9-c956-455e-9e1a-9b4465f9b185,0,0
4cde8ba9-cc26-4fb7-af43-5ebf2df0fd59,0,0
3a823df8-9c3b-4918-80ee-902105773307,0,0
ef99e6fe-2ad9-46ab-a12d-22077ae11509,0,0
cd018fbd-312c-4602-9e85-16e7e9d42c2d,0,0
0ab3dd62-83b1-474d-8662-a9fc640ab768,0,0
917bb6b8-8013-415f-9b0f-505020b0dae0,0,0
05a200c2-e2db-43d7-8953-fd9308d418b6,0,0
5e969e2d-e7f9-4d58-a25a-42d51b4c516c,0,0
fcccec5c-6986-4133-abcc-1581979c6edf,0,0
5237d834-a3e5-4505-bbfb-6d5bac0f8099,0,0
fba314ac-0f0f-43bc-86db-9e61a0836932,0,0
e9685ed7-5a8d-4337-a843-3c635413f91e,0,0
f8080994-0040-4ccb-b2aa-503c5ef49bf7,1,1
c495d00d-daa3-45d1-bf94-f4cb73abc364,0,0
01064592-9b26-4028-aefa-9e27fddc8ec4,0,0
a3c1c014-d646-4a37-877b-1a7a470801cf,0,0
