uuid,actual,prediction
3b63177c-08da-4375-a5be-3a10b5123a60,0,0
ae7626cd-5c07-4658-b879-971d3f078983,0,0
9034ccec-ff5e-48b9-879c-164bdcb27f9c,1,1
8c6f6be8-48b5-4e69-8f61-8b7e2ef1fd4b,1,1
e3ce7440-30c7-476f-a155-3671293b455b,0,0
145e750e-ef6e-48e5-affa-c4f59a31a993,0,0
ac2ed156-6f53-42ff-9e18-8505f5874e33,0,0
5ef274ac-d8b0-421e-b574-47c452e6d8f0,0,0
ad862744-1b3f-4e17-8d6a-0343171212b4,0,0
d0bdcd2d-1e0c-4247-9c9a-9ca019118b20,0,0
1b56d4f2-100a-4ddf-b027-67716e0c3099,0,0
fc0dac3d-7c3f-4bfd-be2e-dc005a35a0c9,0,0
568fda53-958a-405d-b0fb-5735537b5ec3,0,0
fb37295b-0a6c-42e2-863a-1a292a90c3eb,1,1
845d3a10-f217-4fc9-a017-af5b06697b5b,0,0
7027c243-46ec-4fa6-9edb-35bb39aa2fdd,0,0
d5f9b3d0-25e5-494c-92d4-f9652859e151,0,0
3da86551-82f9-4ca5-9caa-7e951b951bd8,0,0
dae39180-9af7-4168-96db-86aeed6671dd,0,0
67115f32-0e33-4296-a941-dac4215b8118,0,0
ab1d5551-24b7-47d8-8e60-17b1fdf47736,0,0
3089358d-35e9-4df0-928e-b6b927f989af,0,0
a959d02c-3f04-4de2-8868-c8f0d99abf4b,0,0
88e6a353-8896-4f1b-820d-e1c0aa576244,0,0
d9785221-dd18-4238-9d62-949fb5d42585,0,0
025e752d-d95c-407c-969a-3b90243efee5,0,0
472a6102-1caa-4ca6-824e-ec9b70ec86f8,0,0
3841f42d-a960-425e-8ac8-98bd6786af3d,1,1
969f762d-c0c3-4968-a133-9fc40adde5d2,0,0
665af781-e503-48d0-a8bc-5f5056484844,0,0
400b5f8b-5cfd-441a-81d9-52a1419ae0c9,0,0
9acc22aa-9965-438e-b106-392314e17f94,0,0
0b137c10-cd60-4e24-ba27-f44551711d9d,0,0
5212ef98-99cb-4f58-b2d9-1220b4d0e6cf,0,0
12f500fc-062c-40b7-ae18-0c631c114a7a,1,1
ec895699-e8be-44f7-b218-694d251d2763,1,1
36a725d1-d371-4dc3-af1d-ab1e9e512162,0,0
f99cc9c7-07d3-4610-aaee-417745039479,0,0
7bd0068b-a9b4-4383-ab98-e53c8ae17a9f,0,0
f732505c-8b37-4dac-8cf5-ea46f6148dfe,0,0
