uuid,actual,prediction
7beccbcb-3a6e-4729-af50-70df2e0e8702,0,0
dd653dfc-566e-4a8a-866a-6e69c60be4b5,0,0
64ccc003-3774-425e-bcdd-8a85061512a7,1,1
8675063b-e25f-4b74-aef2-326bc81f0ec1,0,0
731e0b41-0b41-4b96-aea8-f2bbb25070b7,0,0
2ae2f008-0d73-4fe4-ba1c-5abae2c44eed,0,0
343074b7-dad8-4304-900d-9c67adb5119e,0,0
43d7b58b-a837-491d-8e7b-b1a314f19b35,0,0
a492f9e6-7267-43df-803b-7eedbbeda988,0,0
01bef507-0345-43ab-929a-998056872efd,0,0
4d77ca8d-5ae3-48d7-a967-5e5955152ed5,0,0
610cf59c-8492-4088-9f2a-6e4cb1ce82f3,1,1
7a5e7983-5902-4161-9d55-890113066976,0,0
d0343607-fb51-4f79-ad54-9902ba8142ca,0,0
05c3fbcd-8595-4dd7-aadd-f2dfef7b80f3,0,0
471eeacd-6ac8-4417-96ce-0e7f7f42fc89,0,0
78f82296-f0ea-4add-995d-62f3ab3c06b5,0,0
f7341a0c-c497-4c91-9f2a-38f4437fe201,0,0
b9391bbc-8ae4-4ff1-98d2-c48c2e2f7fd5,0,0
b74f703b-b36c-4b23-9f63-eb6e4ee9bfd2,0,0
85aaf608-cb88-4153-9cf8-a0afd9020c6c,0,0
d0ef1e0c-c5f9-4326-bf00-d96aedf9426b,0,0
d54f6f46-3890-4541-9690-dd7178a5f34c,0,0
ec89aee4-5883-4ba7-90f3-5e1f41e75abd,0,0
0e32e508-9fc1-456d-922c-82906bd197fe,0,0
2adeeac3-ba0c-4f9e-b06a-70a1641e71e1,0,0
3632e9b8-3c7b-41b9-aba1-07ce11a369f4,0,0
4f446b3e-b2da-4c88-aa1e-fe153e850897,0,0
958e6cd0-0d54-4eeb-a5ee-a9ec1a23f394,0,0
01e8442f-1069-4b71-8ed4-de64bb5cc566,0,0
45d12ce7-3be4-4683-ab4e-17b968b364a8,0,0
d5634461-3c0c-47c5-b116-fb7e4e50d77a,0,0
2cce057f-4274-49d3-b72d-27eaaaaeaaff,1,1
