uuid,actual,prediction
8b5741e3-dc7c-41c3-8b9d-db6cccd67d9b,0,0
c495d00d-daa3-45d1-bf94-f4cb73abc364,0,0
ad72e2ec-7b42-4090-9772-12abc2069f43,0,0
2adb5840-c926-4b4c-8323-4eaf80111e0c,0,0
f7fafe5a-2874-4468-a7b3-59c3d4f6c349,0,0
d66d3627-cba0-4bb6-89aa-07f7279f8aea,1,1
34e66a61-97fc-440c-8f13-60fe9ba6832a,0,0
5c427b0c-be47-4715-afaf-aed0d4375d70,0,0
e55e1bcf-5ee9-4dd2-b6e2-74217bbe64b4,1,1
4f722dc8-5cb1-4cb1-adf5-080af9690941,0,0
b61f1ec9-327e-4484-83b7-8fc5d2176423,0,0
f99cc9c7-07d3-4610-aaee-417745039479,0,0
b3f0512c-0669-47db-86c7-ccaa4e6cb3b9,0,0
039f0da3-d6aa-482b-b6d7-ab86b444059d,0,0
df8fb390-1330-4af7-a96c-7c55d7223579,0,0
84795674-a4ca-4232-9baa-57b158f855d4,0,0
bcb94282-7dd1-49ca-bd51-c3c30d1ef3e9,0,0
e9bdc8ce-3e60-4ccb-b1ed-ad565ce8fee3,0,0
42f30a7e-59ed-4c51-8473-b5396a294023,0,0
bcb2c24b-5c69-4eb7-80ae-cec9aae5468d,0,0
a19e96ba-8fb1-4f27-8bd6-ca41d77c6a14,0,0
91b818a3-d903-4420-9c92-d2ef8b5d46aa,0,0
8971873c-664c-4e57-b2ce-74c6d1472023,0,0
0b74ced7-86cf-4235-804a-978731d3fb65,1,1
a58a66d9-c956-455e-9e1a-9b4465f9b185,0,0
811516e9-07de-4a47-ac21-01e5bbc09c86,0,0
1fad393c-67e7-4ac7-a5c2-801eef595f50,0,0
16a3392f-1009-4bcc-85b0-99b2a8f2eeed,0,0
392e259d-15c1-47e8-bdbd-4fa7084b49e0,0,0
2b67f75a-29dc-4c3f-b9ff-494d460a521a,0,0
7aa3d4be-9454-4cf9-85c3-98a395101782,0,0
1fe21261-2605-44c4-b9f6-3f1e499b7ece,0,0
4b73df89-ebb4-445d-8ab9-91d2540510d0,0,0
bf0b289e-393f-4036-958c-026728a4e6ea,0,0
cf925326-1131-46f8-a5b9-009a6910cb83,1,1
b9897248-569f-45d3-965d-30189b10fe10,0,0
a531cecb-3b8e-4d01-a3c1-0a576210528f,1,1
8630f12a-a890-4c35-a050-5a4bac2954ae,0,0
c39d894f-3585-44d4-8272-76f685f3a11b,0,0
8d900e39-e830-456e-90c2-1dfc4231ad7e,0,0
3a20ff39-1989-4464-8ac5-0b5ded2cce5b,0,0
ed86cc0f-b9f7-4e8f-987d-ebde0fa2385e,0,0
cf05a667-4165-4565-9b4e-2eb10ec22e7c,1,1
98111ef6-4e0c-43e3-961a-2c0d317a8cfd,0,0
68538946-a2ed-4fbe-a365-ac8fb6e7dbfc,1,1
6410104a-5a92-4d0c-b38e-043fccd2a134,0,0
9bac699f-91f3-4eb6-a6aa-7b34ab6fbe0f,0,0
3b762ebd-ba46-49dd-b609-c997885acd72,0,0
205c1990-b58b-4c91-a2ec-a1dee1144171,0,0
b465481b-71f6-4ebf-8a4b-7d9548d4016b,0,0
1ac504aa-1e80-4e5b-a7af-ea3e8929898f,0,0
0a2f1d1e-0869-423c-b1c9-bb1e2bab7159,0,0
b638e73f-31b2-4c0b-bc29-7fc116ddeb5e,0,0
4298fe28-0abb-493b-91bf-8a8b7ad695f4,0,0
7a7ca18b-bf8f-4c08-b741-7fe98056893b,0,0
b9391bbc-8ae4-4ff1-98d2-c48c2e2f7fd5,0,0
b094ef04-be04-4eed-a65b-1690991cf042,0,0
e1647a7e-1bb0-40a1-aa4e-a68d8d625646,0,0
16024b38-7b9e-48eb-83ca-f8b1ac9bbdca,1,1
908f5fc1-7088-4055-84d0-ba2c58a5ec4c,0,0
1b56d4f2-100a-4ddf-b027-67716e0c3099,0,0
f8a4de5e-b7aa-4cb8-9395-86fbb29db76b,0,0
06bdcb57-9e87-4044-94cd-83f440e285ed,0,0
59b1fccb-5b59-4cb8-865a-c61256cff478,0,0
9e9ee336-8028-4553-9626-2f5b693fce9a,0,0
400b5f8b-5cfd-441a-81d9-52a1419ae0c9,0,0
cc8f2283-beac-4dbf-8fc1-41a7290f4bc2,0,0
05b925f9-4037-4807-a93b-659476400aad,0,0
c6c10ce2-d27f-42d0-8eaf-d1292273e45f,0,0
27f021d5-fb13-49ed-836f-fa8e8b5610e6,0,0
fc0dac3d-7c3f-4bfd-be2e-dc005a35a0c9,0,0
6e9bf48d-4e79-42a3-b6c6-1512a81e7aa4,0,0
3e10a140-8610-4c65-bb18-ea2ccaace9eb,0,0
36636143-cd59-449b-b518-e27e1befb491,0,0
5ef274ac-d8b0-421e-b574-47c452e6d8f0,0,0
93d8b0f2-9f39-4ac5-90d1-6a3930b163a6,0,0
665af781-e503-48d0-a8bc-5f5056484844,0,0
9d05084a-9cfc-4666-8400-ba3a6885ce26,0,0
d54c8179-f953-411a-a949-1afedae1c8b5,0,0
cf12a8ac-3a1f-4910-8307-4f0f96ea0bc7,0,0
f041714f-5580-4715-86a7-92948d0c15c9,0,0
681d37ea-301c-4bc6-a41e-23b6fc088e20,0,0
0f67878b-0a58-485d-ad2a-aaf96aa9d86a,0,0
02b5fb88-b4b1-4ae8-a48f-4abec30d1ae1,0,0
cb976a75-c460-4b60-ad28-d4fd93b181f9,0,0
e679938c-5d46-49e7-9677-15e925e2ad88,0,0
6138ff8f-6415-450c-8450-37779c5c993d,0,0
c9fe6660-5da7-4d8e-88b7-d5b57ca4b112,0,0
e6a9f6a2-b2c9-428a-8f9f-7469e325724d,0,0
409bc9a3-3291-4a49-8354-82dc202b8ebc,0,0
f3314365-4823-4b72-a4ff-e24142155cac,0,0
0fe7c43b-1144-45a7-80ae-d4eeac6c20ad,0,0
ade83216-ea39-4345-8b1f-9071b340c494,0,0
7c829b88-7c95-41bd-9300-dd9d5f69f2d1,0,0
6461a31e-317e-453c-b0aa-aca1b05c8be4,0,0
e88962ce-71c0-4962-9740-183243fa062d,0,0
521cf18a-422d-4602-a72c-808daf8ece5e,0,0
6a5c06d9-c2f7-452b-9385-03663597161b,0,0
fc28b3a4-85a7-4819-bbcd-195eb4c8b82e,0,0
0d39d8f7-6960-4850-a418-af075336dbfa,0,0
